Country Name,Country Code,2019
China,CHN,1397715000
India,IND,1366417754
United States,USA,328239523
Indonesia,IDN,270625568
Pakistan,PAK,216565318
Brazil,BRA,211049527
Nigeria,NGA,200963599
Bangladesh,BGD,163046161
Russian Federation,RUS,144373535
Mexico,MEX,127575529
Japan,JPN,126264931
Ethiopia,ETH,112078730
Philippines,PHL,108116615
"Egypt, Arab Rep.",EGY,100388073
Vietnam,VNM,96462106
"Congo, Dem. Rep.",COD,86790567
Turkey,TUR,83429615
Germany,DEU,83132799
"Iran, Islamic Rep.",IRN,82913906
Thailand,THA,69625582
France,FRA,67059887
United Kingdom,GBR,66834405
Italy,ITA,60297396
South Africa,ZAF,58558270
Tanzania,TZA,58005463
Myanmar,MMR,54045420
Kenya,KEN,52573973
"Korea, Rep.",KOR,51709098
Colombia,COL,50339443
Spain,ESP,47076781
Argentina,ARG,44938712
Ukraine,UKR,44385155
Uganda,UGA,44269594
Algeria,DZA,43053054
Sudan,SDN,42813238
Iraq,IRQ,39309783
Afghanistan,AFG,38041754
Poland,POL,37970874
Canada,CAN,37589262
Morocco,MAR,36471769
Saudi Arabia,SAU,34268528
Uzbekistan,UZB,33580650
Peru,PER,32510453
Malaysia,MYS,31949777
Angola,AGO,31825295
Ghana,GHA,30417856
Mozambique,MOZ,30366036
"Yemen, Rep.",YEM,29161922
Nepal,NPL,28608710
"Venezuela, RB",VEN,28515829
Madagascar,MDG,26969307
Cameroon,CMR,25876380
Cote d'Ivoire,CIV,25716544
"Korea, Dem. People’s Rep.",PRK,25666161
Australia,AUS,25364307
Niger,NER,23310715
Sri Lanka,LKA,21803000
Burkina Faso,BFA,20321378
Mali,MLI,19658031
Romania,ROU,19356544
Chile,CHL,18952038
Malawi,MWI,18628747
Kazakhstan,KAZ,18513930
Zambia,ZMB,17861030
Ecuador,ECU,17373662
Netherlands,NLD,17332850
Syrian Arab Republic,SYR,17070135
Guatemala,GTM,16604026
Cambodia,KHM,16486542
Senegal,SEN,16296364
Chad,TCD,15946876
Somalia,SOM,15442905
Zimbabwe,ZWE,14645468
Guinea,GIN,12771246
Rwanda,RWA,12626950
Benin,BEN,11801151
Tunisia,TUN,11694719
Burundi,BDI,11530580
Bolivia,BOL,11513100
Belgium,BEL,11484055
Cuba,CUB,11333483
Haiti,HTI,11263077
South Sudan,SSD,11062113
Dominican Republic,DOM,10738958
Greece,GRC,10716322
Czech Republic,CZE,10669709
Sweden,SWE,10285453
Portugal,PRT,10269417
Jordan,JOR,10101694
Azerbaijan,AZE,10023318
United Arab Emirates,ARE,9770529
Hungary,HUN,9769949
Honduras,HND,9746117
Belarus,BLR,9466856
Tajikistan,TJK,9321018
Israel,ISR,9053300
Austria,AUT,8877067
Papua New Guinea,PNG,8776109
Switzerland,CHE,8574832
Togo,TGO,8082366
Sierra Leone,SLE,7813215
"Hong Kong SAR, China",HKG,7507400
Caribbean small states,CSS,7401383
Lao PDR,LAO,7169455
Paraguay,PRY,7044636
Bulgaria,BGR,6975761
Serbia,SRB,6944975
Lebanon,LBN,6855713
Libya,LBY,6777452
Nicaragua,NIC,6545502
Kyrgyz Republic,KGZ,6456900
El Salvador,SLV,6453553
Turkmenistan,TKM,5942089
Denmark,DNK,5818553
Singapore,SGP,5703569
Finland,FIN,5520314
Slovak Republic,SVK,5454073
"Congo, Rep.",COG,5380508
Norway,NOR,5347896
Costa Rica,CRI,5047561
Oman,OMN,4974986
Ireland,IRL,4941444
Liberia,LBR,4937374
New Zealand,NZL,4917000
Central African Republic,CAF,4745185
West Bank and Gaza,PSE,4685306
Mauritania,MRT,4525696
Panama,PAN,4246439
Kuwait,KWT,4207083
Croatia,HRV,4067500
Georgia,GEO,3720382
Uruguay,URY,3461734
Bosnia and Herzegovina,BIH,3301000
Mongolia,MNG,3225167
Puerto Rico,PRI,3193694
Armenia,ARM,2957731
Jamaica,JAM,2948279
Albania,ALB,2854191
Qatar,QAT,2832067
Lithuania,LTU,2786844
Moldova,MDA,2657637
Namibia,NAM,2494530
Pacific island small states,PSS,2493696
"Gambia, The",GMB,2347706
Botswana,BWA,2303697
Gabon,GAB,2172579
Lesotho,LSO,2125268
Slovenia,SVN,2087946
North Macedonia,MKD,2083459
Guinea-Bissau,GNB,1920922
Latvia,LVA,1912789
Kosovo,XKX,1794248
Bahrain,BHR,1641172
Trinidad and Tobago,TTO,1394973
Equatorial Guinea,GNQ,1355986
Estonia,EST,1326590
Timor-Leste,TLS,1293119
Mauritius,MUS,1265711
Cyprus,CYP,1198575
Eswatini,SWZ,1148130
Djibouti,DJI,973560
Fiji,FJI,889953
Comoros,COM,850886
Guyana,GUY,782766
Bhutan,BTN,763092
Solomon Islands,SLB,669823
"Macao SAR, China",MAC,640445
Montenegro,MNE,622137
Luxembourg,LUX,619896
Suriname,SUR,581363
Cabo Verde,CPV,549935
Maldives,MDV,530953
Malta,MLT,502653
Brunei Darussalam,BRN,433285
Belize,BLZ,390353
"Bahamas, The",BHS,389482
Iceland,ISL,361313
Vanuatu,VUT,299882
New Caledonia,NCL,287800
Barbados,BRB,287025
French Polynesia,PYF,279287
Sao Tome and Principe,STP,215056
Samoa,WSM,197097
St. Lucia,LCA,182790
Channel Islands,CHI,172259
Guam,GUM,167294
Curacao,CUW,157538
Kiribati,KIR,117606
"Micronesia, Fed. Sts.",FSM,113815
Grenada,GRD,112003
St. Vincent and the Grenadines,VCT,110589
Virgin Islands (U.S.),VIR,106631
Aruba,ABW,106314
Tonga,TON,104494
Seychelles,SYC,97625
Antigua and Barbuda,ATG,97118
Isle of Man,IMN,84584
Andorra,AND,77142
Dominica,DMA,71808
Cayman Islands,CYM,64948
Bermuda,BMU,63918
Marshall Islands,MHL,58791
Northern Mariana Islands,MNP,57216
Greenland,GRL,56225
American Samoa,ASM,55312
St. Kitts and Nevis,KNA,52834
Faroe Islands,FRO,48678
Sint Maarten (Dutch part),SXM,40733
Monaco,MCO,38964
Turks and Caicos Islands,TCA,38191
Liechtenstein,LIE,38019
St. Martin (French part),MAF,38002
San Marino,SMR,33860
Gibraltar,GIB,33701
British Virgin Islands,VGB,30030
Palau,PLW,18008
Nauru,NRU,12581
Tuvalu,TUV,11646
